iter	Logloss
0	0.3478075378
1	0.2177693799
2	0.1533172876
3	0.117415167
4	0.09808397005
5	0.08634665498
6	0.08018489768
7	0.07617100545
8	0.07402611575
9	0.07087804902
10	0.07001849892
11	0.06914170293
12	0.06847836205
13	0.06745029505
14	0.06646450545
15	0.06635855353
16	0.06595145111
17	0.06544158549
18	0.06504807127
19	0.06452299696
